Molecule Name,CDD Number,SMILES,SARS-CoV-2-NSP3-MAC1_TR-FRET-dose-response_weizmann: pIC50_Mean,SARS-CoV-2-NSP3-MAC1_TR-FRET-dose-response_weizmann: pIC50_Mean Standard Deviation (±),SARS-CoV-2-NSP3-MAC1_TR-FRET-dose-response_weizmann: pIC50_Mean Count,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Run Date,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Experiment Status,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Soaking time,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Crystal mounting result,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Completeness (High res shell),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Space Group,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Ligand confidence,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Fragalysis Link,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: CChalf (overall),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Completeness (overall),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: ISig(I) (overall),SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Refinement Rwork,SARS-COV-2-NSP3-MAC1_X-ray_Diamond: Refinement Rfree,worked
ASAP-0013775,,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3ccn4cnnc4c3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,31/12/1899 21:49:27,,99.6,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0013775-001/L/P/C,,,,,,True
ASAP-0010716,,CC(C)[C@@H](Nc1ncnc2[nH]c(-c3cnn(C)c3C#N)cc12)c1ccc2c(n1)OCCO2,,,,2023-11-21,CompChem ready,02/04/1900 19:54:14,,98.8,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0010716-001/L/P/C,,,,,,True
ASAP-0000593,,OC(=O)C[C@@H](NC(=O)c1ncnc2[nH]ccc12)c1ccncc1,,,,2023-11-21,CompChem ready,02:05:45,OK: No comment:No comment,32.2,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0000593-001/L/P/C,,,,,,True
ASAP-0012336,,CC(C)[C@@H](Nc1ncnc2[nH]c(C(=O)N[C@H]3CCN(C)C3)cc12)c1ccc2c(c1)S(=O)(=O)CCC2,,,,2023-11-21,CompChem ready,01:52:41,OK: No comment:No comment,16.4,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0012336-001/L/P/C,,,,,,True
ASAP-0008351,,O=C(O)[C@@H]1C[C@@H](O)CN1c1ncnc2[nH]ccc12,,,,2023-11-21,CompChem ready,01:31:18,OK: No comment:No comment,35.0,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0008351-001/L/P/C,,,,,,True
ASAP-0012346,,CNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCC4)C(C)C)ncnc2[nH]1,,,,2023-11-21,CompChem ready,21:40:24,OK: No comment:No comment,70.3,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0012346-001/L/P/C,,,,,,True
ASAP-0000753,,Cn1c(C(O)=O)c(NC(=O)c2ccc(NC(=O)NC3CC3)cc2)c2cccnc12,,,,2023-11-21,CompChem ready,01:17:19,OK: No comment:No comment,93.3,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0000753-001/L/P/C,,,,,,True
ASAP-0012317,,CCNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)S(=O)(=O)CCO4)C(C)C)ncnc2[nH]1,,,,2023-11-21,CompChem ready,00:05:40,,24.2,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0012317-001/L/P/C,,,,,,True
ASAP-0008379,,O=C(O)[C@H](CC1CC1)Nc1ncnc2[nH]ccc12,,,,2023-11-21,CompChem ready,01:25:32,OK: No comment:No comment,97.3,P 43,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1A/mols/ASAP-0008379-001/L/P/C,,,,,,True
ASAP-0013827,,CCNC(=O)c1cc2c(N[C@@H](c3ccc4c(c3)OCCO4)C(C)C)ncnc2[nH]1,,,,2023-11-21,CompChem ready,,,6.2,P 1 21 1,,https://fragalysis.diamond.ac.uk/viewer/react/preview/direct/target/SARS2_Mac1B/mols/ASAP-0013827-001/L/P/C,,,,,,True
