Code,Long code,Compound code,Smiles,Downloaded,ConformerSites,CanonSites,CrystalformSites,Quatassemblies,Crystalforms,[Other] AS2',[Other] S1,[Other] S1',[Other] S2,[Other] AS1'
Zx0990a,XX01ZVNS2B-x0990_B_301_XX01ZVNS2B-x1291+B+301+1,Z270760338,CN(C)C(=O)N1CCNCC1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,False,False,False
Zx0990b,XX01ZVNS2B-x0990_B_302_XX01ZVNS2B-x0788+B+303+1,Z270760338,CN(C)C(=O)N1CCNCC1,True,6a - XX01ZVNS2B-x0788,6 - B303,F1g - crystalform1 - XX01ZVNS2B-x0788/B/303/1,A1 - monomer,F1 - crystalform1,False,False,False,False,False
Zx1046a,XX01ZVNS2B-x1046_B_301_XX01ZVNS2B-x1291+B+301+1,Z31735562,COCC(=O)Nc1cccc(NC(C)=O)c1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,False,False,False,False
Zx1046b,XX01ZVNS2B-x1046_B_304_XX01ZVNS2B-x1291+B+301+1,Z31735562,COCC(=O)Nc1cccc(NC(C)=O)c1,False,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,False,False,False,False
Zx1098a,XX01ZVNS2B-x1098_B_301_XX01ZVNS2B-x1291+B+301+1,Z396117078,Cn1cc(NC(=O)c2ccccc2C(F)(F)F)cn1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1234a,XX01ZVNS2B-x1234_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014643-001,COc1cncc(-c2ccccc2C(=O)Nc2cnn(C)c2)c1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1237a,XX01ZVNS2B-x1237_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014657-001,Cc1cnccc1NC(=O)c1cc(C2CC2)n(C)c1C,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1261a,XX01ZVNS2B-x1261_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014708-001,COCc1cc(-c2ccccc2C(=O)Nc2cnn(C)c2)ccn1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1265a,XX01ZVNS2B-x1265_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014712-001,COc1cc(-c2ccccc2C(=O)Nc2cnn(C)c2)ccn1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1271a,XX01ZVNS2B-x1271_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014657-001,Cc1cnccc1NC(=O)c1cc(C2CC2)n(C)c1C,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1274a,XX01ZVNS2B-x1274_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014668-001,Cc1cnccc1NC(=O)c1cccc(-c2nccs2)c1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1288a,XX01ZVNS2B-x1288_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014704-001,Cc1cc(-c2ccccc2C(=O)Nc2cnn(C)c2)cnc1F,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1291a,XX01ZVNS2B-x1291_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014707-001,CN(C)Cc1nc(CNc2cc(Cl)cc(C(=O)NC(C)(C)CO)c2)cs1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx1317a,XX01ZVNS2B-x1317_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014812-001,CS(=O)(=O)c1ccc(N2CCNCC2)cc1NC(=O)c1cccc2ncccc12,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx1320a,XX01ZVNS2B-x1320_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014821-001,COc1ccc(-c2ccccc2C(=O)Nc2cnn(C)c2)cn1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1325a,XX01ZVNS2B-x1325_B_203_XX01ZVNS2B-x1291+B+301+1,ASAP-0014738-001,Cc1ncc(-c2ccccc2C(=O)Nc2cnn(C)c2)cn1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1333a,XX01ZVNS2B-x1333_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014767-001,CN(C)Cc1cc(CNc2cc(Cl)cc(C(=O)NC(C)(C)CO)c2)ccc1O,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx1342a,XX01ZVNS2B-x1342_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014795-001,Cn1cc(NC(=O)c2cccc3ncccc23)cn1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1390a,XX01ZVNS2B-x1390_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014812-001,CS(=O)(=O)c1ccc(N2CCNCC2)cc1NC(=O)c1cccc2ncccc12,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx1398a,XX01ZVNS2B-x1398_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014738-001,Cc1ncc(-c2ccccc2C(=O)Nc2cnn(C)c2)cn1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1406a,XX01ZVNS2B-x1406_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014767-001,CN(C)Cc1cc(CNc2cc(Cl)cc(C(=O)NC(C)(C)CO)c2)ccc1O,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx1413a,XX01ZVNS2B-x1413_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014790-001,O=C(Nc1cnn2c1CNCC2)c1cccc2ncccc12,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
Zx1451a,XX01ZVNS2B-x1451_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014856-001,CNc1ccc(-c2ccccc2C(=O)Nc2cnn(C)c2)cn1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,False,False
Zx1470a,XX01ZVNS2B-x1470_B_301_XX01ZVNS2B-x1291+B+301+1,ASAP-0014897-001,COc1cc(COc2cncnc2)nc(N2CCNCC2)n1,True,8a - XX01ZVNS2B-x1291,8 - B301,F1a - crystalform1 - XX01ZVNS2B-x0051/B/301/1,A1 - monomer,F1 - crystalform1,False,True,True,True,False
